title,author,album,url,score
Chcemy być wyżej [Projekt Tymczasem],Sokół,Chcemy być wyżej [Projekt Tymczasem],https://open.spotify.com/track/1srFSCDkg4EqIUaxvEbR9v,
Musisz,"Kasta, Donguralesko, Verte",13,https://open.spotify.com/track/1tcAJVGQy9WqOGsBykmhgG,
Blank Space,Taylor Swift,1989 (Deluxe),https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g,
Alter Ego,Kaen,Od Kołyski Aż Po Grób,https://open.spotify.com/track/1uqmXLKfG2CcitfITlQydY,
Szacunek Ludzi Ulicy,"Peja, Slums Attack, Dj Decks",20/20 Evergreen,https://open.spotify.com/track/1vVBcDF2ySDA3uiktfrEi0,
My Way,Calvin Harris,My Way,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,
Funky Rider - Polish Version,"Jacek Stachursky, DENN",2k19,https://open.spotify.com/track/1wBYuG9zccMGrWWXj7Ew9U,
Wiosna - ach to ty,Marek Grechuta,Marek Grechuta - 40 piosenek,https://open.spotify.com/track/1wGjhv27md3YHSFMPqBFWt,
Fiji,Taco Hemingway,Café Belga,https://open.spotify.com/track/1ximpbOqWczcZugufN9PLe,
Wyprawa Po Zioło,Green Grenade,Purple Tape,https://open.spotify.com/track/1y6yZtBI9MoY6QsgAJGHmj,
Twister,"Żabson, Young Multi",Twister,https://open.spotify.com/track/1ynZh1jVEOyOhlbjHbIUZe,
Moja Panienka feat. Nowator,"Lerek, Nowator",Bo Bez Ciebie,https://open.spotify.com/track/1ytKoerNXa2cDQtVjGzNp6,
BABY SAME PRZYJDA,Malik Montana,Tijara,https://open.spotify.com/track/1z1WSIdTsXU1b088ITGJ2v,
Wyje Wyje Bane,"Sir Mich, TEDE",Vanillahajs,https://open.spotify.com/track/1zvshpbNi7aGhQgKOagcO6,
Call Me Maybe,Carly Rae Jepsen,Kiss,https://open.spotify.com/track/20I6sIOMTCkB6w7ryavxtO,
Płuca zlepione topami,Guzior,EVIL_THINGS,https://open.spotify.com/track/24XLOVBFwlv8bR1eLFeUik,
Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,
Na audiencji,PRO8L3M,Ground Zero Mixtape,https://open.spotify.com/track/24n8gqIuorNbx9k8h3ZJ0u,
Umowilem sie z nia na dziewiata,Mieczyslaw Fogg,Przeboje do Tanca,https://open.spotify.com/track/25nE1UoF3aQ898VCrPEbTB,
Mam Dosc,Kryzys,78-81,https://open.spotify.com/track/29MjRtRMILzNLERm09L77m,
Rodeo,Jacuś,Rodeo,https://open.spotify.com/track/29f9DBWM8v1NMapzLtBznq,
Jestem Tutaj,Marzia Gaggioli,I Love the World,https://open.spotify.com/track/29fWGN8nvh2EYmqnXLmjtG,
Nobody Speak,"DJ Shadow, Run The Jewels",The Mountain Will Fall,https://open.spotify.com/track/2A9rFFPwsnhusCh8ZMBvYY,
"Do dna chłopcy, do dna","A'Vista, Dariusz Mol",Biesiada z procentem (No to siup!),https://open.spotify.com/track/2ABPpRFibNNYifMIkDI8Qv,
Twerk,"Białas, Tom B., Wac Toja, Solar, Koldi",Gonimy Sny Z Ulicy (LP),https://open.spotify.com/track/2AHy2ZBKWbOuzFeQckXz63,
Koperta,"Młodszy Brat, Ks. Jakub Trapczak",Koperta,https://open.spotify.com/track/2AIbX8lCeE33kDXDygzWo0,
O'Kruca (prod. The Returners),"Donguralesko, The Returners",Dom Otwartych Drzwi,https://open.spotify.com/track/2AlNkreu2x3XSzAQgSTZct,
Lubię,Pezet,Muzyka rozrywkowa,https://open.spotify.com/track/2B9cszJLHlgbbdvlbgABBJ,
Doomsday,NERO,Welcome Reality,https://open.spotify.com/track/2C8YrzMqdi6HgijBREcFAk,
Dynamite,Taio Cruz,The Rokstarr Hits Collection,https://open.spotify.com/track/2CEgGE6aESpnmtfiZwYlbV,
