title,author,album,url,score
You're The One That I Want - From “Grease”,"John Travolta, Olivia Newton-John",Grease (The Original Motion Picture Soundtrack),https://open.spotify.com/track/0B9x2BRHqj3Qer7biM3pU3,
Dancing Queen,ABBA,Arrival,https://open.spotify.com/track/0GjEhVFGZW8afUYGChu3Rr,
Changes - 2015 Remaster,David Bowie,Hunky Dory (2015 Remaster),https://open.spotify.com/track/0LrwgdLsFaWh9VXIjBRe8t,
You Make Me Feel (Mighty Real),Sylvester,Step II,https://open.spotify.com/track/0RnCUYXa7jhgTXtiMXF2PQ,
Tyle słońca w całym mieście,Anna Jantar,Tyle słońca w całym mieście,https://open.spotify.com/track/0Z64VYDXM5lVZziPJHEd9L,
The Guns of Brixton - Remastered,The Clash,London Calling (Remastered),https://open.spotify.com/track/0jnFDxgNhS156vu6roUVco,
Macho Man,Village People,San Francisco Macho Man,https://open.spotify.com/track/0xRDqhYsCW6F9LM4s7gY5z,
Riders on the Storm,The Doors,L.A. Woman,https://open.spotify.com/track/14XWXWv5FoCbFzLksawpEe,
The Passenger,Iggy Pop,Lust For Life,https://open.spotify.com/track/15BQ7vEDv2LJuh8TxWIhtd,
Voulez-Vous,ABBA,Voulez-Vous,https://open.spotify.com/track/17OqI90oTFZ3J8PVu6j07V,
El Condor Pasa (If I Could),Simon & Garfunkel,Bridge Over Troubled Water,https://open.spotify.com/track/1eN42Q7IWRzRBq8eW2Y2TE,
We Are The Champions - Remastered 2011,Queen,News Of The World (2011 Remaster),https://open.spotify.com/track/1lCRw5FEZ1gPDNPzy1K4zW,
I'm Every Woman,Chaka Khan,Chaka,https://open.spotify.com/track/1oFiPGBafH9Woo9AMwgBSl,
Message In A Bottle,The Police,Reggatta De Blanc (Remastered 2003),https://open.spotify.com/track/1oYYd2gnWZYrt89EBXdFiO,
Watch That Man - 2013 Remaster,David Bowie,Aladdin Sane (2013 Remaster),https://open.spotify.com/track/1vlcWaJV9hGbiQMbsh2d8t,
One Love / People Get Ready - Medley,Bob Marley & The Wailers,Exodus (Deluxe Edition),https://open.spotify.com/track/2HcyIzVsX45jLIxK7SH2aI,
How Deep Is Your Love,Bee Gees,Greatest,https://open.spotify.com/track/2JoZzpdeP2G6Csfdq5aLXP,
I Want You Back,The Jackson 5,Greatest Hits,https://open.spotify.com/track/2OSfEYKhlSsLx6vn4O75RK,
Mr. Blue Sky,Electric Light Orchestra,Out of the Blue,https://open.spotify.com/track/2RlgNHKcydI9sayD2Df2xp,
Mamma Mia,ABBA,Abba,https://open.spotify.com/track/2TxCwUlqaOH3TIyJqGgR91,
Surrender,Cheap Trick,Heaven Tonight,https://open.spotify.com/track/2ccUQnjjNWT0rsNnsBpsCA,
September,"Earth, Wind & Fire","The Best Of Earth, Wind & Fire Vol. 1",https://open.spotify.com/track/2grjqo0Frpf2okIBiifQKs,
God Save The Queen,Sex Pistols,"Never Mind The Bollocks, Here’s The Sex Pistols",https://open.spotify.com/track/2mHchPRtQWet3iIS3jANr1,
Sun Is Shining,Bob Marley & The Wailers,Kaya,https://open.spotify.com/track/2pZJhvpin385eqAFRp3ASJ,
Hot Stuff,Donna Summer,Bad Girls,https://open.spotify.com/track/2zMJN9JvDlvGP4jB03l1Bz,
Highway to Hell,AC/DC,Highway to Hell,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,
Waterloo,ABBA,Waterloo,https://open.spotify.com/track/3Dy4REq8O09IlgiwuHQ3sk,
Roxanne,The Police,Outlandos D'Amour (Remastered 2003),https://open.spotify.com/track/3EYOJ48Et32uATr9ZmLnAo,
No Woman No Cry,Bob Marley & The Wailers,Natty Dread,https://open.spotify.com/track/3PQLYVskjUeRmRIfECsL0X,
Daddy Cool,Boney M.,Take The Heat Off Me,https://open.spotify.com/track/3WMbD1OyfKuwWDWMNbPQ4g,
"Money, Money, Money",ABBA,Arrival,https://open.spotify.com/track/3lKN03PDeBnXZS7sDukRBt,
Blame It on the Boogie,The Jacksons,Destiny,https://open.spotify.com/track/3qI94hINNNeb4S7xQi18lS,
Baba O'Riley,The Who,Who's Next,https://open.spotify.com/track/3qiyyUfYe7CRYLucrPmulD,
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,Voulez-Vous,https://open.spotify.com/track/3vkQ5DAB1qQMYO4Mr9zJN6,
Hotel California - 2013 Remaster,Eagles,Hotel California (2013 Remaster),https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv,
Lake Shore Drive,Aliotta Haynes Jeremiah,Lake Shore Drive,https://open.spotify.com/track/46MX86XQqYCZRvwPpeq4Gi,
Carry on Wayward Son,Kansas,Leftoverture (Expanded Edition),https://open.spotify.com/track/4DMKwE2E2iYDKY01C335Uw,
One Way Or Another - Remastered,Blondie,Parallel Lines (Remastered),https://open.spotify.com/track/4cQJ27R11K634x5qCOwKW5,
Sir Duke,Stevie Wonder,Songs In The Key Of Life,https://open.spotify.com/track/4pNiE4LCVV74vfIBaUHm1b,
We Will Rock You - Remastered,Queen,News Of The World (2011 Remaster),https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn,
Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera (2011 Remaster),https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,
Take A Chance On Me,ABBA,The Album,https://open.spotify.com/track/5BckPAYcKEJuYs1eV1BHHe,
(Don't Fear) The Reaper,Blue Öyster Cult,Agents Of Fortune,https://open.spotify.com/track/5QTxFnGygVM4jFQiBovmRo,
Don't Stop Me Now - Remastered 2011,Queen,Jazz (2011 Remaster),https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,
He's the Greatest Dancer,Sister Sledge,We Are Family,https://open.spotify.com/track/5WwRKYnVy9dekqXAGPbAvU,
Sing-Sing,Maryla Rodowicz,Sing-Sing,https://open.spotify.com/track/5Y8Dsq5Rms5cuUWnWk37m0,
Baker Street,Gerry Rafferty,City to City,https://open.spotify.com/track/5gOd6zDC8vhlYjqbQdJVWP,
London Calling - Remastered,The Clash,London Calling (Remastered),https://open.spotify.com/track/5jzma6gCzYtKB1DbEwFZKH,
Anarchy In The UK,Sex Pistols,"Never Mind The Bollocks, Here’s The Sex Pistols",https://open.spotify.com/track/5moTxUGPZXgGmosl4rIELm,
Damaged Goods,Gang Of Four,Entertainment!,https://open.spotify.com/track/62uw0iWu8jLB4cYBQxjdcm,
Three Little Birds,Bob Marley & The Wailers,Exodus (Deluxe Edition),https://open.spotify.com/track/6A9mKXlFRPMPem6ygQSt7z,
Is This Love,Bob Marley & The Wailers,Kaya,https://open.spotify.com/track/6JRLFiX9NJSoRRKxowlBYr,
Sailing,Rod Stewart,Atlantic Crossing,https://open.spotify.com/track/6OuRbvP4PgbuzBIapVzmFJ,
Crocodile Rock,Elton John,Don't Shoot Me I'm Only The Piano Player,https://open.spotify.com/track/6WCeFNVAXUtNczb7lqLiZU,
Last Train to London,Electric Light Orchestra,Discovery,https://open.spotify.com/track/6xE6ZWzK1YDDSYzqOCoQlz,
SOS,ABBA,Abba,https://open.spotify.com/track/6yZv0Nl6BXABbXoPVpfF5y,
Dust in the Wind,Kansas,Point Of Know Return (Expanded Edition),https://open.spotify.com/track/6zeE5tKyr8Nu882DQhhSQI,
Piano Man,Billy Joel,Piano Man (Legacy Edition),https://open.spotify.com/track/70C4NyhjD5OZUMzvWZ3njJ,
La Grange - 2005 Remaster,ZZ Top,Tres Hombres (Expanded 2006 Remaster),https://open.spotify.com/track/70YvYr2hGlS01bKRIho1HM,
Rivers of Babylon,Boney M.,Nightflight to Venus,https://open.spotify.com/track/78His8pbKjbDQF7aX5asgv,
Immigrant Song - Remaster,Led Zeppelin,Led Zeppelin III (Remaster),https://open.spotify.com/track/78lgmZwycJ3nzsdgmPPGNx,
Don't Go Breaking My Heart,"Elton John, Kiki Dee",Rock Of The Westies,https://open.spotify.com/track/7HW5WIw7ZgZORCzUxv5gW5,
Le Freak - 2018 Remaster,CHIC,C'est Chic (2018 Remaster),https://open.spotify.com/track/7Kszjzps0xbQXyo1pO4KfE,
T.N.T.,AC/DC,High Voltage,https://open.spotify.com/track/7LRMbd3LEoV5wZJvXT1Lwb,
Cherry Bomb,The Runaways,The Runaways,https://open.spotify.com/track/7cdnq45E9aP2XDStHg5vd7,
Sweet Home Alabama,Lynyrd Skynyrd,Second Helping,https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg,
Ballada o pancernych,Edmund Fetting,Czterej pancerni i pies (Piosenki z filmu telewizyjnego),https://open.spotify.com/track/7fk2w2RANRpiAuCxcnWzgT,
Imagine - Remastered 2010,John Lennon,Imagine,https://open.spotify.com/track/7pKfPomDEeI4TPT6EOYjn9,
