title,author,album,url,score
Wodospady,"Popek, Matheo",Król Albanii,https://open.spotify.com/track/1mgtLt6PfNvYCmYQAiOzI5,
Blah Blah Blah,Armin van Buuren,Balance,https://open.spotify.com/track/1moFkZDqcjQNeXtyoanLHv,
Dzień który dał Trap,"Alcomindz, Kolins, Koldi, Kluchu, Baku",On a Mission,https://open.spotify.com/track/1pMzXI9ncbetLHfiVRWFpT,
Jessica,"Borys LBD, Bado",Jessica,https://open.spotify.com/track/1rvRLwSqGL2EJRTJUtGb7F,
Chcemy być wyżej [Projekt Tymczasem],Sokół,Chcemy być wyżej [Projekt Tymczasem],https://open.spotify.com/track/1srFSCDkg4EqIUaxvEbR9v,
My Way,Calvin Harris,My Way,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,
Funky Rider - Polish Version,"Jacek Stachursky, DENN",2k19,https://open.spotify.com/track/1wBYuG9zccMGrWWXj7Ew9U,
Fiji,Taco Hemingway,Café Belga,https://open.spotify.com/track/1ximpbOqWczcZugufN9PLe,
Twister,"Żabson, Young Multi",Twister,https://open.spotify.com/track/1ynZh1jVEOyOhlbjHbIUZe,
Moja Panienka feat. Nowator,"Lerek, Nowator",Bo Bez Ciebie,https://open.spotify.com/track/1ytKoerNXa2cDQtVjGzNp6,
BABY SAME PRZYJDA,Malik Montana,Tijara,https://open.spotify.com/track/1z1WSIdTsXU1b088ITGJ2v,
Płuca zlepione topami,Guzior,EVIL_THINGS,https://open.spotify.com/track/24XLOVBFwlv8bR1eLFeUik,
Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,
Na audiencji,PRO8L3M,Ground Zero Mixtape,https://open.spotify.com/track/24n8gqIuorNbx9k8h3ZJ0u,
Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),https://open.spotify.com/track/24ySl2hOPGCDcxBxFIqWBu,
